District,Unit  ,Inci_no   ,incid_descrip,Alm_d  m            ,Disp_d    m           ,No  if_d    m          ,Roll_d    m           ,Arv_d    m            ,In_d    m             ,City                     ,Zip       ,Shift,geopoint
Hill Section,E3,19-0007239,EMS call,11/13/19 15:12,11/13/19 15:12,11/13/19 15:13,11/13/19 15:14,11/13/19 15:14,11/13/19 15:46,BURLINGTON,5401,C,"44.4698855615,-73.1833170039"
Downtown,L2,18-0005928,EMS call,9/23/18 8:58,9/23/18 8:58,9/23/18 9:00,9/23/18 9:02,9/23/18 9:02,9/23/18 9:06,BURLINGTON,5401,A,"44.4969995741,-73.2279060945"
Hill Section,E3,19-0007425,EMS call,11/21/19 9:06,11/21/19 9:06,11/21/19 9:06,11/21/19 9:07,11/21/19 9:14,11/21/19 9:21,BURLINGTON,5401,B,"44.4656845918,-73.1960767663"
Hill Section,CRA2,18-0007081,EMS call,11/11/18 8:20,11/11/18 8:20,11/11/18 8:24,11/11/18 8:24,11/11/18 8:36,11/11/18 8:54,BURLINGTON,5401,B,"44.4698205237,-73.1996636205"
Downtown,E3,19-0007466,Cooking fire involving the contents of a cooking vessel without fire extension beyond the vessel,11/23/19 12:53,11/23/19 12:53,11/23/19 12:54,11/23/19 12:55,11/23/19 12:58,11/23/19 13:02,BURLINGTON,5401,A,"44.4683994212,-73.1995132672"
New North End,CRA2,19-0005354,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,8/30/19 6:41,8/30/19 6:41,8/30/19 6:45,8/30/19 6:56,8/30/19 6:56,8/30/19 8:19,BURLINGTON,5408,C,"44.5158968477,-73.2496047853"
Hill Section,E3,19-0007128,EMS call,11/9/19 6:47,11/9/19 6:47,11/9/19 6:48,11/9/19 6:49,11/9/19 6:51,11/9/19 7:23,BURLINGTON,5401,B,"44.5003997289,-73.2028317944"
New North End,E6,18-0005203,EMS call,8/25/18 18:17,8/25/18 18:17,8/25/18 18:17,8/25/18 18:19,8/25/18 18:21,8/25/18 18:37,BURLINGTON,5408,B,"44.4972519216,-73.2460197528"
Hill Section,E3,18-0005730,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,9/16/18 10:50,9/16/18 10:50,9/16/18 10:51,9/16/18 10:55,9/16/18 10:55,9/16/18 11:13,Burlington,5401,C,"44.4696268873,-73.2172294216"
New North End,E6,18-0005352,EMS call,9/1/18 17:11,9/1/18 17:11,9/1/18 17:11,9/1/18 17:13,9/1/18 17:16,9/1/18 17:40,BURLINGTON,5408,C,"44.5085082375,-73.2384204232"
South End,T1,19-0005950,"Smoke detector activation (no fire), unintentional",9/22/19 19:39,9/22/19 19:39,9/22/19 19:39,9/22/19 19:41,9/22/19 19:47,9/22/19 19:52,BURLINGTON,5401,B,"44.4438600056,-73.1895243832"
Downtown,E6,19-0006178,EMS call,10/2/19 12:06,10/2/19 12:06,10/2/19 12:10,10/2/19 12:10,10/2/19 12:10,10/2/19 12:20,BURLINGTON,5401,C,"44.4681534871,-73.2047889959"
Hill Section,22A1,18-0005696,"Smoke detector activation (no fire), unintentional",9/15/18 2:57,9/15/18 2:57,9/15/18 3:01,9/15/18 3:01,9/15/18 3:03,9/15/18 3:03,BURLINGTON,5401,B,"44.4831699827,-73.1759187399"
Hill Section,E6,19-0006378,"Good intent call, other",10/10/19 13:45,10/10/19 13:45,10/10/19 13:47,10/10/19 13:47,10/10/19 13:58,10/10/19 14:15,BURLINGTON,5401,B,"44.4651784741,-73.2149994021"
Downtown,22A1,18-0005755,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,9/17/18 8:30,9/17/18 8:30,9/17/18 8:31,9/17/18 8:33,9/17/18 8:39,9/17/18 8:55,BURLINGTON,5401,A,"44.4913363826,-73.2088455388"
Hill Section,E6,19-0003323,EMS call,6/4/19 16:13,6/4/19 16:13,6/4/19 16:14,6/4/19 16:19,6/4/19 16:19,6/4/19 16:31,BURLINGTON,5401,C,"44.5122522605,-73.2034140256"
Downtown,T1,18-0005934,Assist invalid,9/23/18 11:51,9/23/18 11:51,9/23/18 11:51,9/23/18 11:53,9/23/18 11:57,9/23/18 12:02,BURLINGTON,5401,A,"44.4810508401,-73.2326078567"
Hill Section,E6,18-0006208,EMS call,10/4/18 5:43,10/4/18 5:43,10/4/18 5:43,10/4/18 5:44,10/4/18 5:44,10/4/18 6:04,BURLINGTON,5401,C,"44.4909264719,-73.1724750172"
Downtown,E1,18-0006015,Flood assessment  Excludes water rescue (360 series),9/26/18 13:26,9/26/18 13:26,9/26/18 13:27,9/26/18 13:27,9/26/18 13:27,9/26/18 13:38,BURLINGTON,5401,A,"44.4899899513,-73.2058466923"
South End,E6,18-0006447,EMS call,10/12/18 19:34,10/12/18 19:34,10/12/18 19:35,10/12/18 19:37,10/12/18 19:40,10/12/18 20:08,BURLINGTON,5401,B,"44.4533339602,-73.2430669264"
Old North End,UTV2,19-0004001,"Good intent call, other",7/3/19 19:09,7/3/19 19:09,7/3/19 19:09,7/3/19 19:10,7/3/19 19:10,7/3/19 19:11,BURLINGTON,5401,B,"44.5027114931,-73.2399267868"
Hill Section,E6,19-0000145,EMS call,1/8/19 11:32,1/8/19 11:32,1/8/19 11:33,1/8/19 11:34,1/8/19 11:37,1/8/19 11:48,BURLINGTON,5401,C,"44.4421172968,-73.1817699449"
Old North End,UTV2,19-0004537,EMS call,7/26/19 15:07,7/26/19 15:07,7/26/19 15:07,7/26/19 15:07,7/26/19 15:09,7/26/19 16:07,BURLINGTON,5401,A,"44.4723881221,-73.2072315691"
New North End,E6,18-0005999,EMS call,9/26/18 6:17,9/26/18 6:17,9/26/18 6:18,9/26/18 6:19,9/26/18 6:22,9/26/18 6:25,BURLINGTON,5408,A,"44.5301192134,-73.2355656728"
Downtown,UTV2,19-0004564,"Severe weather or natural disaster, other",7/27/19 12:19,7/27/19 12:19,7/27/19 12:20,7/27/19 12:20,7/27/19 12:20,7/27/19 12:20,BURLINGTON,5401,B,"44.4546401443,-73.2323063696"
Downtown,I3,19-0002798,Assist police or other governmental agency,5/10/19 21:25,5/10/19 21:25,5/10/19 21:26,5/10/19 21:27,5/10/19 21:27,5/10/19 21:51,BURLINGTON,5401,N,"44.4692226897,-73.1980691306"
Old North End,6A2,19-0002045,EMS call,4/6/19 13:39,4/6/19 13:39,4/6/19 13:44,4/6/19 13:44,4/6/19 13:54,4/6/19 14:49,BURLINGTON,5408,A,"44.4774101139,-73.2547952766"
South End,BATT1,19-0001369,Hazardous material release investigation with no hazardous condition found,3/4/19 14:38,3/4/19 14:38,3/4/19 14:38,3/4/19 14:40,3/4/19 14:41,3/4/19 14:59,BURLINGTON,5401,A,"44.4751699929,-73.2299722022"
South End,6A2,19-0005127,EMS call,8/19/19 13:27,8/19/19 13:27,8/19/19 13:27,8/19/19 13:33,8/19/19 13:38,8/19/19 15:27,BURLINGTON,5401,A,"44.4498997718,-73.2062993447"
Downtown,BATT1,19-0001946,"Municipal alarm system, malicious false alarm",4/1/19 23:18,4/1/19 23:18,4/1/19 23:18,4/1/19 23:21,4/1/19 23:22,4/1/19 23:29,BURLINGTON,5401,B,"44.472823585,-73.2457980043"
Old North End,UTV2,19-0003885,EMS call,6/28/19 7:18,6/28/19 7:18,6/28/19 7:36,6/28/19 7:36,6/28/19 7:36,6/28/19 8:48,BURLINGTON,5401,C,"44.4633827516,-73.1940641019"
Downtown,BATT1,19-0002221,Gas leak (natural gas or LPG),4/14/19 13:58,4/14/19 13:58,4/14/19 13:59,4/14/19 14:00,4/14/19 14:02,4/14/19 14:06,BURLINGTON,5401,C,"44.4896659412,-73.1813934467"
Downtown,UTV2,18-0005727,EMS call,9/16/18 9:32,9/16/18 9:32,9/16/18 9:54,9/16/18 9:54,9/16/18 9:54,9/16/18 18:16,BURLINGTON,5401,C,"44.499827433,-73.2271799114"
Downtown,E1,18-0005295,Burlington Fire Department - Contractor Billable False Alarm,8/30/18 5:31,8/30/18 5:31,8/30/18 5:31,8/30/18 5:33,8/30/18 5:35,8/30/18 5:43,BURLINGTON,5401,A,"44.4855907827,-73.1879558168"
Downtown,UTV2,19-0004540,EMS call,7/26/19 15:53,7/26/19 15:53,7/26/19 15:53,7/26/19 15:53,7/26/19 16:10,7/26/19 16:32,BURLINGTON,5401,A,"44.4735403554,-73.2379647192"
Downtown,T1,18-0005333,"Smoke detector activation (no fire), unintentional",8/31/18 16:59,8/31/18 16:59,8/31/18 17:00,8/31/18 17:02,8/31/18 17:03,8/31/18 17:07,BURLINGTON,5401,B,"44.4591178857,-73.2121338498"
South End,UTV2,18-0005486,EMS call,9/7/18 16:24,9/7/18 16:24,9/7/18 16:25,9/7/18 16:25,9/7/18 16:25,9/7/18 16:44,BURLINGTON,5401,N,"44.4880855062,-73.2340235147"
Downtown,E1,18-0005337,EMS call,9/1/18 0:58,9/1/18 0:58,9/1/18 0:59,9/1/18 1:03,9/1/18 1:03,9/1/18 1:11,BURLINGTON,5401,B,"44.4823508367,-73.2239323371"
Downtown,6A2,19-0001419,EMS call,3/7/19 9:08,3/7/19 9:08,3/7/19 9:12,3/7/19 9:12,3/7/19 9:19,3/7/19 9:51,BURLINGTON,5401,A,"44.4542710104,-73.2225137598"
Downtown,E1,18-0005520,EMS call,9/8/18 19:46,9/8/18 19:46,9/8/18 19:46,9/8/18 19:49,9/8/18 19:49,9/8/18 19:59,BURLINGTON,5401,A,"44.4802640963,-73.1829190238"
New North End,A4,18-0006702,EMS call,10/24/18 11:49,10/24/18 11:49,10/24/18 11:49,10/24/18 11:51,10/24/18 12:04,10/24/18 13:07,BURLINGTON,5408,B,"44.4972082039,-73.2492882307"
Downtown,E1,19-0004472,EMS call,7/23/19 22:03,7/23/19 22:03,7/23/19 22:04,7/23/19 22:06,7/23/19 22:08,7/23/19 22:19,BURLINGTON,5401,A,"44.4731401067,-73.2234679755"
Old North End,A4,18-0005163,EMS call,8/24/18 5:28,8/24/18 5:28,8/24/18 5:29,8/24/18 5:29,8/24/18 5:32,8/24/18 6:34,BURLINGTON,5401,A,"44.4961204371,-73.2067272498"
Downtown,E1,19-0006120,EMS call,9/29/19 23:36,9/29/19 23:36,9/29/19 23:36,9/29/19 23:40,9/29/19 23:42,9/30/19 0:05,BURLINGTON,5401,C,"44.459953472,-73.2360046406"
Downtown,T1,19-0006164,"Sprinkler activation (no fire), unintentional",10/1/19 19:26,10/1/19 19:26,10/1/19 19:26,10/1/19 19:28,10/1/19 19:31,10/1/19 19:55,BURLINGTON,5401,B,"44.4571473427,-73.2243540231"
Downtown,E1,19-0006636,EMS call,10/21/19 4:00,10/21/19 4:00,10/21/19 4:01,10/21/19 4:03,10/21/19 4:05,10/21/19 4:16,BURLINGTON,5401,A,"44.4884398876,-73.1896036065"
Old North End,E1,19-0006657,Smoke detector activation due to malfunction,10/21/19 19:43,10/21/19 19:43,10/21/19 19:44,10/21/19 19:46,10/21/19 19:49,10/21/19 19:52,BURLINGTON,5401,A,"44.4804800344,-73.1896055149"
Old North End,E1,19-0006676,"Smoke detector activation (no fire), unintentional",10/22/19 17:30,10/22/19 17:30,10/22/19 17:31,10/22/19 17:33,10/22/19 17:35,10/22/19 17:37,BURLINGTON,5401,B,"44.4682604423,-73.2309476197"
Hill Section,E3,19-0000548,Smoke detector activation due to malfunction,1/25/19 20:04,1/25/19 20:04,1/25/19 20:06,1/25/19 20:06,1/25/19 20:10,1/25/19 20:19,BURLINGTON,5401,B,"44.4908558765,-73.221977066"
Hill Section,E3,19-0000657,Alarm system activation due to malfunction,1/31/19 1:05,1/31/19 1:05,1/31/19 1:05,1/31/19 1:09,1/31/19 1:12,1/31/19 1:49,BURLINGTON,5401,A,"44.4589339568,-73.2128010742"
Hill Section,E3,19-0007187,Motor vehicle accident with no injuries,11/11/19 12:25,11/11/19 12:25,11/11/19 12:26,11/11/19 12:28,11/11/19 12:32,11/11/19 12:47,BURLINGTON,5401,A,"44.4970604654,-73.2159108559"
Hill Section,E3,18-0004977,Smoke detector activation due to malfunction,8/16/18 8:25,8/16/18 8:25,8/16/18 8:25,8/16/18 8:28,8/16/18 8:29,8/16/18 8:39,BURLINGTON,5401,B,"44.4754510114,-73.1907365341"
Downtown,E3,19-0005590,"Smoke detector activation (no fire), unintentional",9/8/19 6:15,9/8/19 6:15,9/8/19 6:15,9/8/19 6:17,9/8/19 6:19,9/8/19 6:22,BURLINGTON,5401,C,"44.4709150331,-73.2300497158"
Hill Section,E3,19-0002406,EMS call,4/22/19 18:13,4/22/19 18:13,4/22/19 18:14,4/22/19 18:15,4/22/19 18:17,4/22/19 18:27,BURLINGTON,5401,B,"44.4849073177,-73.2222206236"
Hill Section,E3,19-0002459,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,4/25/19 1:49,4/25/19 1:49,4/25/19 1:49,4/25/19 1:51,4/25/19 1:53,4/25/19 1:58,BURLINGTON,5401,A,"44.4827992604,-73.2188977129"
Hill Section,E3,18-0005206,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,8/25/18 19:09,8/25/18 19:09,8/25/18 19:09,8/25/18 19:10,8/25/18 19:11,8/25/18 19:25,BURLINGTON,5401,B,"44.4800588554,-73.2237429345"
Hill Section,E3,18-0005213,EMS call,8/26/18 8:37,8/26/18 8:37,8/26/18 8:38,8/26/18 8:41,8/26/18 8:41,8/26/18 9:08,BURLINGTON,5401,C,"44.4922745941,-73.2217237018"
Hill Section,E3,18-0005357,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,9/1/18 21:13,9/1/18 21:13,9/1/18 21:13,9/1/18 21:15,9/1/18 21:19,9/1/18 21:29,BURLINGTON,5401,C,"44.4554529494,-73.189712375"
Downtown,E1,19-0006852,EMS call,10/30/19 14:11,10/30/19 14:11,10/30/19 14:12,10/30/19 14:13,10/30/19 14:14,10/30/19 14:26,BURLINGTON,5401,A,"44.490180138,-73.2222666166"
Downtown,E1,19-0006875,EMS call,10/31/19 12:52,10/31/19 12:52,10/31/19 12:52,10/31/19 12:53,10/31/19 12:55,10/31/19 13:03,BURLINGTON,5401,B,"44.4835378135,-73.1895445182"
Old North End,E1,19-0006991,"Unintentional transmission of alarm, other",11/3/19 20:45,11/3/19 20:45,11/3/19 20:45,11/3/19 20:48,11/3/19 20:53,11/3/19 20:53,BURLINGTON,5401,B,"44.4860527253,-73.1964461518"
Downtown,E1,19-0006993,EMS call,11/4/19 3:01,11/4/19 3:01,11/4/19 3:01,11/4/19 3:03,11/4/19 3:05,11/4/19 3:16,BURLINGTON,5401,C,"44.478452741,-73.2009935196"
Old North End,E1,19-0000701,EMS call,2/1/19 17:02,2/1/19 17:02,2/1/19 17:02,2/1/19 17:04,2/1/19 17:07,2/1/19 17:28,BURLINGTON,5401,C,"44.4949338675,-73.2288716627"
Downtown,E1,19-0000712,EMS call,2/2/19 3:45,2/2/19 3:45,2/2/19 3:45,2/2/19 3:47,2/2/19 3:48,2/2/19 3:54,BURLINGTON,5401,A,"44.4833923698,-73.1765273668"
Downtown,E1,19-0000902,EMS call,2/9/19 22:11,2/9/19 22:11,2/9/19 22:12,2/9/19 22:14,2/9/19 22:14,2/9/19 22:26,BURLINGTON,5401,B,"44.4802685402,-73.2388435053"
Downtown,E1,19-0000913,EMS call,2/10/19 13:21,2/10/19 13:21,2/10/19 13:21,2/10/19 13:26,2/10/19 13:26,2/10/19 13:57,BURLINGTON,5401,C,"44.503244893,-73.1903914096"
Old North End,E3,18-0005414,Alarm system activation due to malfunction,9/4/18 9:32,9/4/18 9:32,9/4/18 9:32,9/4/18 9:35,9/4/18 9:35,9/4/18 9:44,BURLINGTON,5401,C,"44.4840797888,-73.2549320276"
Hill Section,E3,18-0005471,EMS call,9/6/18 17:56,9/6/18 17:56,9/6/18 17:57,9/6/18 17:58,9/6/18 18:00,9/6/18 18:08,BURLINGTON,5401,B,"44.4728621233,-73.2207193863"
Hill Section,E3,18-0005473,EMS call,9/6/18 23:15,9/6/18 23:15,9/6/18 23:16,9/6/18 23:18,9/6/18 23:20,9/6/18 23:25,BURLINGTON,5401,B,"44.4801323272,-73.1921251582"
Hill Section,E3,18-0005493,Smoke detector activation due to malfunction,9/7/18 19:15,9/7/18 19:15,9/7/18 19:16,9/7/18 19:17,9/7/18 19:19,9/7/18 19:36,BURLINGTON,5401,C,"44.4735723478,-73.1811363832"
Hill Section,E3,19-0006473,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,10/14/19 1:47,10/14/19 1:47,10/14/19 1:47,10/14/19 1:49,10/14/19 1:51,10/14/19 1:59,BURLINGTON,5401,B,"44.4816152655,-73.2046895773"
Hill Section,E3,19-0006953,Removal of victim(s) from stalled elevator,11/2/19 0:35,11/2/19 0:35,11/2/19 0:36,11/2/19 0:39,11/2/19 0:40,11/2/19 0:47,BURLINGTON,5401,C,"44.4785671563,-73.2403196784"
Hill Section,E3,19-0007012,"Water problem, other",11/4/19 18:37,11/4/19 18:37,11/4/19 18:38,11/4/19 18:39,11/4/19 18:43,11/4/19 18:52,BURLINGTON,5401,C,"44.4789252735,-73.2091375701"
Hill Section,E3,19-0000905,EMS call,2/10/19 3:10,2/10/19 3:10,2/10/19 3:11,2/10/19 3:13,2/10/19 3:18,2/10/19 3:45,BURLINGTON,5401,C,"44.4901111453,-73.1522807258"
Hill Section,E3,19-0000991,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,2/14/19 17:00,2/14/19 17:00,2/14/19 17:01,2/14/19 17:02,2/14/19 17:06,2/14/19 17:22,BURLINGTON,5401,C,"44.4550119624,-73.2086344274"
Hill Section,E3,19-0003631,Carbon monoxide detector activation due to malfunction,6/17/19 16:52,6/17/19 16:52,6/17/19 16:52,6/17/19 16:52,6/17/19 16:52,6/17/19 17:01,BURLINGTON,5401,A,"44.497584745,-73.1882855048"
Hill Section,E3,19-0002881,No incident found on arrival at dispatch address,5/15/19 10:09,5/15/19 10:09,5/15/19 10:10,5/15/19 10:11,5/15/19 10:12,5/15/19 10:16,BURLINGTON,5401,A,"44.4996366903,-73.1710276701"
Hill Section,BATT1,19-0000764,"Excessive heat, overheat scorch burns with no ignition",2/4/19 13:00,2/4/19 13:00,2/4/19 13:01,2/4/19 13:06,2/4/19 13:06,2/4/19 15:00,BURLINGTON,5401,C,"44.4491081603,-73.1991270734"
Downtown,E1,19-0003484,EMS call,6/11/19 14:47,6/11/19 14:47,6/11/19 14:48,6/11/19 14:48,6/11/19 14:49,6/11/19 15:02,BURLINGTON,5401,A,"44.4628719528,-73.2013044446"
Downtown,T1,19-0003814,"Smoke detector activation (no fire), unintentional",6/24/19 18:13,6/24/19 18:13,6/24/19 18:13,6/24/19 18:15,6/24/19 18:16,6/24/19 18:18,BURLINGTON,5401,B,"44.4528579024,-73.2333091176"
Downtown,22A1,19-0002922,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,5/17/19 11:13,5/17/19 11:13,5/17/19 11:14,5/17/19 11:16,5/17/19 11:26,5/17/19 11:51,BURLINGTON,5401,C,"44.5018441966,-73.2211465033"
Downtown,E1,18-0006106,EMS call,9/30/18 2:54,9/30/18 2:54,9/30/18 2:55,9/30/18 2:58,9/30/18 2:59,9/30/18 3:08,BURLINGTON,5401,A,"44.4658932315,-73.2377696954"
Downtown,T1,18-0006505,Smoke detector activation due to malfunction,10/16/18 3:53,10/16/18 3:53,10/16/18 3:53,10/16/18 3:55,10/16/18 3:57,10/16/18 4:00,BURLINGTON,5401,C,"44.4891400551,-73.2242306752"
New North End,3L3,18-0006472,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,10/14/18 3:48,10/14/18 3:48,10/14/18 3:49,10/14/18 3:50,10/14/18 3:56,10/14/18 4:08,BURLINGTON,5408,A,"44.5311373472,-73.2571975041"
Old North End,3L3,19-0003629,EMS call,6/17/19 12:45,6/17/19 12:45,6/17/19 12:48,6/17/19 12:48,6/17/19 12:52,6/17/19 13:06,BURLINGTON,5408,C,"44.4790450464,-73.260589815"
New North End,3L3,19-0004892,EMS call,8/8/19 20:49,8/8/19 20:49,8/8/19 20:50,8/8/19 20:52,8/8/19 20:54,8/8/19 21:05,BURLINGTON,5408,B,"44.5011463018,-73.2607687451"
South End,E5,18-0004691,Water or steam leak,8/5/18 19:50,8/5/18 19:50,8/5/18 19:51,8/5/18 19:53,8/5/18 19:57,8/5/18 20:03,BURLINGTON,5401,C,"44.4553377492,-73.2084952544"
South End,E5,19-0002658,Hazardous material release investigation with no hazardous condition found,5/3/19 23:40,5/3/19 23:40,5/3/19 23:41,5/3/19 23:44,5/3/19 23:46,5/3/19 23:56,BURLINGTON,5401,A,"44.4465629501,-73.2346565137"
South End,E5,19-0006504,EMS call,10/15/19 8:10,10/15/19 8:10,10/15/19 8:11,10/15/19 8:14,10/15/19 8:16,10/15/19 8:28,BURLINGTON,5401,A,"44.4684775368,-73.1856234022"
South End,E5,19-0006929,EMS call,11/1/19 12:25,11/1/19 12:25,11/1/19 12:25,11/1/19 12:27,11/1/19 12:30,11/1/19 12:41,BURLINGTON,5401,C,"44.4428480913,-73.1788224406"
South End,E5,19-0000915,"Rescue and EMS incident, other",2/10/19 13:42,2/10/19 13:42,2/10/19 13:43,2/10/19 13:46,2/10/19 13:46,2/10/19 13:52,BURLINGTON,5401,C,"44.4389845475,-73.1968565375"
South End,E5,19-0003695,EMS call,6/20/19 2:02,6/20/19 2:02,6/20/19 2:03,6/20/19 2:05,6/20/19 2:09,6/20/19 2:24,BURLINGTON,5401,C,"44.4600818697,-73.2338367233"
South End,E5,19-0003743,Alarm system activation due to malfunction,6/21/19 23:22,6/21/19 23:22,6/21/19 23:22,6/21/19 23:25,6/21/19 23:29,6/21/19 23:38,BURLINGTON,5401,B,"44.4408450622,-73.2189982543"
South End,E5,19-0003803,Carbon monoxide incident,6/24/19 8:53,6/24/19 8:53,6/24/19 8:56,6/24/19 8:59,6/24/19 9:02,6/24/19 9:28,BURLINGTON,5401,B,"44.442565115,-73.2237970308"
South End,E5,19-0007491,EMS call,11/24/19 11:18,11/24/19 11:18,11/24/19 11:18,11/24/19 11:20,11/24/19 11:24,11/24/19 12:15,BURLINGTON,5401,B,"44.4662547744,-73.219708303"
South End,E5,19-0007496,EMS call,11/24/19 16:32,11/24/19 16:32,11/24/19 16:32,11/24/19 16:34,11/24/19 16:37,11/24/19 17:02,BURLINGTON,5401,B,"44.4765385653,-73.1820766462"
Downtown,E1,19-0000090,EMS call,1/5/19 18:26,1/5/19 18:26,1/5/19 18:26,1/5/19 18:30,1/5/19 18:30,1/5/19 18:37,BURLINGTON,5401,C,"44.4874392342,-73.2344724993"
Downtown,E1,19-0000124,EMS call,1/7/19 15:43,1/7/19 15:43,1/7/19 15:43,1/7/19 15:45,1/7/19 15:46,1/7/19 16:13,BURLINGTON,5401,B,"44.495289859,-73.2096556363"
Hill Section,T1,19-0000127,"Smoke detector activation (no fire), unintentional",1/7/19 18:36,1/7/19 18:36,1/7/19 18:37,1/7/19 18:39,1/7/19 18:44,1/7/19 18:46,BURLINGTON,5401,B,"44.4795979453,-73.1708084811"
Downtown,E1,19-0005410,EMS call,8/31/19 19:51,8/31/19 19:51,8/31/19 19:52,8/31/19 19:54,8/31/19 20:04,8/31/19 20:04,BURLINGTON,5401,A,"44.4514089152,-73.197484165"
Downtown,E1,19-0005582,EMS call,9/7/19 22:14,9/7/19 22:14,9/7/19 22:14,9/7/19 22:15,9/7/19 22:18,9/7/19 22:24,BURLINGTON,5401,B,"44.4877388457,-73.18869748"
Downtown,E1,19-0007233,EMS call,11/13/19 11:44,11/13/19 11:44,11/13/19 11:44,11/13/19 11:46,11/13/19 11:47,11/13/19 12:00,BURLINGTON,5401,C,"44.4719483129,-73.2240623644"
Hill Section,E3,18-0006264,Motor vehicle accident with no injuries,10/5/18 18:43,10/5/18 18:43,10/5/18 18:43,10/5/18 18:46,10/5/18 18:47,10/5/18 19:48,BURLINGTON,5401,A,"44.4937447323,-73.1657073175"
Hill Section,E3,18-0006493,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,10/15/18 6:20,10/15/18 6:20,10/15/18 6:20,10/15/18 6:21,10/15/18 6:22,10/15/18 6:28,BURLINGTON,5401,B,"44.4862322656,-73.1844665007"
Hill Section,E3,18-0006503,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,10/15/18 18:20,10/15/18 18:20,10/15/18 18:20,10/15/18 18:21,10/15/18 18:26,10/15/18 18:35,BURLINGTON,5401,B,"44.4888274411,-73.2132989039"
Hill Section,E3,18-0006504,EMS call,10/16/18 1:51,10/16/18 1:51,10/16/18 1:52,10/16/18 1:54,10/16/18 1:56,10/16/18 2:06,BURLINGTON,5401,B,"44.4601087076,-73.1760982853"
Hill Section,E3,18-0006577,EMS call,10/19/18 11:21,10/19/18 11:21,10/19/18 11:22,10/19/18 11:23,10/19/18 11:25,10/19/18 11:37,BURLINGTON,5401,C,"44.4973646296,-73.2263223648"
Hill Section,E3,19-0000085,EMS call,1/4/19 21:39,1/4/19 21:39,1/4/19 21:40,1/4/19 21:42,1/4/19 21:44,1/4/19 21:53,BURLINGTON,5401,B,"44.4701329913,-73.1837441449"
Hill Section,E3,19-0007292,Smoke detector activation due to malfunction,11/15/19 19:50,11/15/19 19:50,11/15/19 19:51,11/15/19 19:53,11/15/19 19:58,11/15/19 20:08,BURLINGTON,5401,B,"44.4416747314,-73.2152172119"
Hill Section,E3,19-0007494,EMS call,11/24/19 14:14,11/24/19 14:14,11/24/19 14:14,11/24/19 14:16,11/24/19 14:20,11/24/19 14:38,BURLINGTON,5401,C,"44.4692454543,-73.1808663838"
Hill Section,E3,19-0002679,Unauthorized burning,5/4/19 16:33,5/4/19 16:33,5/4/19 16:35,5/4/19 16:36,5/4/19 16:39,5/4/19 16:48,BURLINGTON,5401,B,"44.4979067405,-73.192188212"
Hill Section,E3,19-0006046,EMS call,9/27/19 10:24,9/27/19 10:24,9/27/19 10:24,9/27/19 10:26,9/27/19 10:27,9/27/19 10:41,BURLINGTON,5401,A,"44.5094880684,-73.2016046619"
Hill Section,E3,18-0005931,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,9/23/18 10:04,9/23/18 10:04,9/23/18 10:05,9/23/18 10:05,9/23/18 10:08,9/23/18 10:21,BURLINGTON,5401,A,"44.4787153093,-73.2277392825"
Old North End,T1,19-0005991,Hazardous material release investigation with no hazardous condition found,9/24/19 15:55,9/24/19 15:55,9/24/19 15:55,9/24/19 15:56,9/24/19 15:59,9/24/19 16:17,BURLINGTON,5401,A,"44.4812568979,-73.2287843988"
Old North End,T1,19-0006049,Motor vehicle accident with no injuries,9/27/19 11:19,9/27/19 11:19,9/27/19 11:20,9/27/19 11:20,9/27/19 11:20,9/27/19 11:29,BURLINGTON,5401,A,"44.4833478139,-73.2020352336"
Downtown,E1,19-0007081,EMS call,11/7/19 13:15,11/7/19 13:15,11/7/19 13:15,11/7/19 13:17,11/7/19 13:18,11/7/19 13:23,BURLINGTON,5401,C,"44.4647146993,-73.1906314899"
Downtown,E1,18-0005573,EMS call,9/10/18 15:15,9/10/18 15:15,9/10/18 15:15,9/10/18 15:18,9/10/18 15:18,9/10/18 15:24,BURLINGTON,5401,C,"44.4644873289,-73.2112377958"
Downtown,E1,18-0005672,EMS call,9/14/18 9:19,9/14/18 9:19,9/14/18 9:20,9/14/18 9:22,9/14/18 9:24,9/14/18 9:40,BURLINGTON,5401,A,"44.4561339355,-73.191207197"
Hill Section,T1,18-0005801,Carbon monoxide detector activation due to malfunction,9/19/18 11:42,9/19/18 11:42,9/19/18 11:43,9/19/18 11:45,9/19/18 11:51,9/19/18 11:59,BURLINGTON,5401,C,"44.4665885212,-73.2065154952"
